theme_no,activity,outcomes,tags,start_month,end_month,milestone_months,links,status,notes
1,Develop and secure signatures for a position paper on the shared information chain,A position paper on the importance of the Shared Information Chain is signed by stakeholders.,report,1,12,,GORC Commons Model template :: https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.rd-alliance.org%2Fwp-content%2Fuploads%2F2024%2F07%2FGORC-International-Model-WG-Commons-Model-V1.1.xlsx&wdOrigin=BROWSELINK,Not started,
1,Establish NaMeCo (Dutch National Membership Consortium for OpenAIRE representation),Signed federation / consortium agreement.,signed agreement,1,12,,NaMeCo template :: https://www.openaire.eu/public-documents/nameco-template,Not started,
1,"Draft and finalize formal agreements on roles and responsibilities between SURF, NaMeCo institutions, KB National Library, publishers, and OpenAIRE",Draft & Signed Federation Rule Book.,signed agreement,1,18,,GORC Commons Model template :: https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.rd-alliance.org%2Fwp-content%2Fuploads%2F2024%2F07%2FGORC-International-Model-WG-Commons-Model-V1.1.xlsx&wdOrigin=BROWSELINK,Not started,
1,Define legal structure for CC0 metadata influx,"Legal Guideline “metadata re-use” in CRISes, used in negotiations for future publisher deals, Scopus & Pure.",legal,6,6,6,,Not started,
1,Create a comprehensive governance framework for all project themes,Project governance framework.,report,1,12,,,Not started,
1,Organize annual National Symposium and General Assembly for federation members,4 National symposia.,event,12,48,"12, 24, 36, 48",,Not started,Budget: € 23.000 per symposium × 4.
1,Review and update governance framework to ensure post-project sustainability,Updated Federation Rule Book.,report,36,48,,,Not started,
2,Form and formalize NL Research Information Content Board through EduStandaard,1 WISH 2.0 formalized at Edustandaard.nl.,signed agreement,1,3,,EduStandaard werkgroepen :: https://www.edustandaard.nl/standaard_werkgroepen/,Not started,
2,Develop updated metadata application profile; translating current NL-DIDL-MODS requirements to OpenAIRE CERIF and DC guidelines,1 oai_cerif_openaire_NL and 1 oai_dc_openaire_NL application profile published at Edustandaard.nl.,standard,3,12,,NL-DIDL-MODS :: https://www.edustandaard.nl/standaard_afspraken/?edu_orderby=title&werkgebieden%5B%5D=ho&registratiestatussen%5B%5D=geregistreerd&registratiestatussen%5B%5D=aangemeld&gebruiksadviezen%5B%5D=verplicht&gebruiksadviezen%5B%5D=aangeraden&gebruiksadviezen%5B%5D=onder-voorwaarden&gebruiksadviezen%5B%5D=onbekend | OpenAIRE CERIF and DC guidelines :: https://guidelines.openaire.eu/ | RSL: Really Simple Licensing :: https://rslstandard.org/,Not started,
2,"Support repositories, CRIS systems, and KB eDepot in adopting the updated profile",16 CRIS systems & 31 institutional repositories adopted the new application profile.,configuration,12,18,,,Not started,
